"";"idOrganisme";"idPdc";"nom";"nomOrganisme";"lat";"lon";"mainPratique";"pratique";"today";"total";"pays"
"1";"20";"100000011";"Tours";"CRT Centre-Val de Loire";"47.36385";"0.67566";"2";"101000011";"13/06/2022";"691021";"fr"
"2";"20";"100000012";"Savonniéres";"CRT Centre-Val de Loire";"47.34693";"0.53067";"2";"101000012";"13/06/2022";"894565";"fr"
"3";"20";"100000013";"Briare";"CRT Centre-Val de Loire";"47.6328";"2.73884";"2";"101000013,102000013";"13/06/2022";"360336";"fr"
"4";"20";"100000014";"Couargues";"CRT Centre-Val de Loire";"47.28991";"2.93055";"2";"101000014,102000014";"13/06/2022";"250213";"fr"
"5";"20";"100000015";"Mareau-aux-Prés";"CRT Centre-Val de Loire";"47.86281";"1.79849";"2";"101000015,102000015,353244611,353244654";"13/06/2022";"512051";"fr"
"6";"20";"100000016";"Muides";"CRT Centre-Val de Loire";"47.67906";"1.52534";"2";"101000016,102000016,353243778,353243783";"13/06/2022";"473768";"fr"
"7";"20";"100000017";"Montlouis";"CRT Centre-Val de Loire";"47.39538";"0.81058";"2";"101000017,102000017,353244217,353244259";"13/06/2022";"701577";"fr"
"8";"20";"100000018";"Candes";"CRT Centre-Val de Loire";"47.21422";"0.06798";"2";"101000018,102000018";"13/06/2022";"630173";"fr"
"9";"20";"100000079";"Saint Satur";"CRT Centre-Val de Loire";"47.35264";"2.86431";"2";"101000079,102000079,353243105,353243109";"13/06/2022";"212228";"fr"
"10";"20";"100003297";"Cuffy_old";"CRT Centre-Val de Loire";"46.96343";"3.05692";"2";"101003297,102003297";"13/06/2022";"142889";"fr"
"11";"20";"100015526";"ECOMOBILECRT_T60G4076009(CC Touraine)";"CRT Centre-Val de Loire";"47.063544722033";"0.316393375396729";"2";"101015526,102015526";"13/06/2022";"79582";"fr"
"12";"20";"100034871";"ECOMOBILECRT_ECO07031090 (ADT41)";"CRT Centre-Val de Loire";"47.774641";"0.792573";"2";"101034871,102034871";"13/06/2022";"7209";"fr"
"13";"20";"100037531";"ECOMOBILECRT_ECO06030565";"CRT Centre-Val de Loire";"47.48498";"1.19507";"2";"101037531,102037531";"13/06/2022";"31845";"fr"
"14";"20";"100061401";"St-Christophe (RD145)";"CRT Centre-Val de Loire";"48.12089";"1.36577";"2";"101061401,102061401,103061401,104061401";"13/06/2022";"14053";"fr"
"15";"20";"100061402";"Les Moulins de Soulaires (RD19.2)";"CRT Centre-Val de Loire";"48.52365";"1.57477";"2";"101061402,102061402,103061402,104061402";"13/06/2022";"125660";"fr"
"16";"20";"100061403";"Spoir (Mignières - RD149.9)";"CRT Centre-Val de Loire";"48.38127";"1.4232";"2";"101061403,102061403,103061403,104061403";"13/06/2022";"81982";"fr"
"17";"20";"100061404";"Trizay-Coutretot-St-Serge (RD112.1)";"CRT Centre-Val de Loire";"48.3077";"0.85065";"2";"101061404,102061404,103061404,104061404";"13/06/2022";"22246";"fr"
"18";"20";"100061658";"Cuffy";"CRT Centre-Val de Loire";"46.96296";"3.057273";"2";"101061658,102061658,103061658,104061658";"13/06/2022";"195396";"fr"
"19";"20";"300022561";"ECOMOBILECRT_X2I21121455 (ADT41) sens unique";"CRT Centre-Val de Loire";"47.721247";"0.87756";"2";"353302126";"13/06/2022";"482";"fr"
"20";"26";"100001874";"VT 12 Messilä";"Lahti";"60.98836";"25.5521";"7";"101001874,102001874,103001874,104001874";"13/06/2022";"61748";"fi"
"21";"26";"100002456";"Hollolank (Mytäjäinen)";"Lahti";"60.98045";"25.64015";"2";"101002456";"13/06/2022";"59621";"fi"
"22";"26";"100004858";"Harjunkadun_AK-Silta";"Lahti";"60.9800316608954";"25.6609588203427";"7";"101004858,102004858,103004858,104004858";"13/06/2022";"222637";"fi"
"23";"26";"100005848";"Ahtialantie_18";"Lahti";"60.98125";"25.691841";"7";"101005848,102005848,103005848,104005848";"13/06/2022";"0";"fi"
"24";"26";"100013931";"Uudenmaankatu/Radanpää";"Lahti";"60.97574";"25.6584";"2";"101013931";"13/06/2022";"17880";"fi"
"25";"26";"100034375";"Aleksanterin katu";"Lahti";"60.9827070488442";"25.660156993854";"2";"101034375";"13/06/2022";"85284";"fi"
"26";"26";"100039385";"Luontopolku";"Lahti";"60.98974";"25.87032";"1";"101039385,102039385";"13/06/2022";"18465";"fi"
"27";"26";"100059258";"Aleksanterinkatu pohjoinen";"Lahti";"60.9829374974472";"25.6595114994085";"7";"101059258,102059258,103059258,104059258";"13/06/2022";"764374";"fi"
"28";"26";"100059446";"Aleksanterinkatu eteläinen";"Lahti";"60.9826761801969";"25.6607445530479";"1";"101059446,102059446";"13/06/2022";"770282";"fi"
"29";"26";"100061358";"Satama";"Lahti";"60.9879311615984";"25.6418092517867";"7";"101061358,102061358,103061358,104061358";"13/06/2022";"97938";"fi"
"30";"26";"100061359";"Niemikatu";"Lahti";"60.9921010502352";"25.662758757345";"7";"101061359,102061359,103061359,104061359";"13/06/2022";"35556";"fi"
"31";"26";"100062895";"Tunnelikatu Itä";"Lahti";"60.9860162713015";"25.6728532143014";"2";"101062895";"13/06/2022";"0";"fi"
"32";"26";"100062896";"Tunnelikatu länsi";"Lahti";"60.9860224820387";"25.6725636358752";"2";"101062896";"13/06/2022";"0";"fi"
"33";"26";"300017534";"Likolampi";"Lahti";"60.9915304666795";"25.5596280097961";"1";"353267727,353267728";"13/06/2022";"12360";"fi"
"34";"26";"300017535";"Radiomäki";"Lahti";"60.9784790891792";"25.6456518173218";"1";"353267730,353267731";"13/06/2022";"56185";"fi"
"35";"26";"300017536";"Terveysmetsäpolku";"Lahti";"60.9925606103146";"25.5497789382935";"1";"353267733,353267734";"13/06/2022";"223";"fi"
"36";"40";"100000117";"St Michel de Chabrillanoux";"ADT_Ardeche";"44.82074";"4.61879";"7";"101000117,102000117,103000117,104000117";"13/06/2022";"785846";"fr"
"37";"40";"100000118";"St Laurent du Pape";"ADT_Ardeche";"44.81973";"4.76151";"7";"101000118,102000118,103000118,104000118";"13/06/2022";"3523687";"fr"
"38";"40";"100000479";"Saint-Prix multi";"ADT_Ardeche";"44.95527";"4.51342";"7";"101000479,102000479,103000479,104000479";"13/06/2022";"1851565";"fr"
"39";"40";"100004685";"Chomérac";"ADT_Ardeche";"44.70071";"4.69599";"7";"101004685,102004685,103004685,104004685";"13/06/2022";"599320";"fr"
"40";"40";"100004686";"Viaduc_de_la_Payre";"ADT_Ardeche";"44.72983";"4.73766";"7";"101004686,102004686,103004686,104004686";"13/06/2022";"1758622";"fr"
"41";"40";"100014587";"Rochemaure multi";"ADT_Ardeche";"44.58374";"4.70959";"7";"101014587,102014587,103014587,104014587";"13/06/2022";"2018110";"fr"
"42";"40";"100014589";"Ruoms multi";"ADT_Ardeche";"44.44171";"4.34554";"7";"101014589,102014589,103014589,104014589";"13/06/2022";"863991";"fr"
"43";"40";"100015118";"Saint-Julien-Boutières";"ADT_Ardeche";"44.97767";"4.36305";"7";"101015118,102015118,103015118,104015118";"13/06/2022";"203518";"fr"
"44";"40";"100034540";"Arras sur rhone";"ADT_Ardeche";"45.13219";"4.8025";"7";"101034540,102034540,103034540,104034540";"13/06/2022";"400971";"fr"
"45";"40";"100034541";"Viviers multi";"ADT_Ardeche";"44.4489";"4.69366";"7";"101034541,102034541,103034541,104034541";"13/06/2022";"127782";"fr"
"46";"40";"100034542";"Saint Georges les bains";"ADT_Ardeche";"44.83529";"4.81563";"7";"101034542,102034542,103034542,104034542";"13/06/2022";"1036089";"fr"
"47";"40";"100037224";"Baix";"ADT_Ardeche";"44.73051";"4.75682";"7";"101037224,102037224,103037224,104037224";"13/06/2022";"433570";"fr"
"48";"40";"100049724";"Privas Les Mines";"ADT_Ardeche";"44.72213";"4.58033";"7";"101049724,102049724,103049724,104049724";"13/06/2022";"413111";"fr"
"49";"40";"100053479";"Rochemaure vélos";"ADT_Ardeche";"44.58374";"4.70959";"2";"101053479,102053479,353244114,353244118";"13/06/2022";"128507";"fr"
"50";"40";"100054842";"Ruoms vélos";"ADT_Ardeche";"44.44165";"4.34572";"2";"101054842,102054842,353242834,353242838";"13/06/2022";"184946";"fr"
"51";"40";"100054864";"Viviers vélos";"ADT_Ardeche";"44.44882";"4.69374";"2";"101054864,102054864,353242906,353242910";"13/06/2022";"101677";"fr"
"52";"40";"100054865";"Saint Prix vélos";"ADT_Ardeche";"44.95527";"4.51342";"2";"101054865,102054865,353244331,353244335";"13/06/2022";"54318";"fr"
"53";"40";"300021558";"Cheyres";"ADT_Ardeche";"44.35462";"4.18664";"7";"353295162,353295163,353295164,353295165";"13/06/2022";"11208";"fr"
"54";"58";"100000518";"NCC Eastern Canal Pathway Colonel By";"Ottawa Active Transportation Counters";"45.42142";"-75.68604";"2";"101000518,102000518";"13/06/2022";"0";"ca"
"55";"58";"100000519";"NCC Ottawa River Pathway at Prince of Wales Bridge";"Ottawa Active Transportation Counters";"45.4120025634766";"-75.7229919433594";"2";"101000519,102000519";"13/06/2022";"0";"ca"
"56";"58";"100001678";"Laurier @ Metcalfe";"Ottawa Active Transportation Counters";"45.41985";"-75.696075";"2";"101001678,102001678";"13/06/2022";"40049";"ca"
"57";"58";"100001783";"Laurier @ Lyon";"Ottawa Active Transportation Counters";"45.4170128";"-75.7031297";"2";"101001783,102001783";"13/06/2022";"0";"ca"
"58";"58";"100002884";"Somerset Bridge at O-Train Trillium Line";"Ottawa Active Transportation Counters";"45.40745";"-75.71757";"2";"101002884,102002884";"13/06/2022";"26900";"ca"
"59";"58";"100008160";"Trillium Bayview";"Ottawa Active Transportation Counters";"45.410313";"-75.72383";"2";"101008160,102008160,103008160,104008160,105008160,106008160,107008160,108008160";"13/06/2022";"27142";"ca"
"60";"58";"100008473";"Trillium Gladstone";"Ottawa Active Transportation Counters";"45.40523";"-75.71577";"2";"101008473,102008473,103008473,104008473,105008473,106008473,107008473,108008473";"13/06/2022";"47916";"ca"
"61";"58";"100011422";"Hemlock";"Ottawa Active Transportation Counters";"45.44592";"-75.66913";"2";"101011422,102011422";"13/06/2022";"23997";"ca"
"62";"58";"100013460";"NCC Alexandra Bridge Cycle Track";"Ottawa Active Transportation Counters";"45.429188";"-75.70199";"2";"101013460,102013460";"13/06/2022";"0";"ca"
"63";"58";"100017151";"Churchill @ Byron";"Ottawa Active Transportation Counters";"45.38958";"-75.75237";"2";"101017151,102017151";"13/06/2022";"15536";"ca"
"64";"58";"100017946";"South Keys Bridge";"Ottawa Active Transportation Counters";"45.35391";"-75.65874";"2";"101017946,102017946";"13/06/2022";"11968";"ca"
"65";"58";"100019385";"Max Keeping Bridge";"Ottawa Active Transportation Counters";"45.41887";"-75.652855";"7";"101019385,102019385,103019385,104019385";"13/06/2022";"45621";"ca"
"66";"58";"100021607";"Hickory Street Bridge (Bikes + Peds)";"Ottawa Active Transportation Counters";"45.39817";"-75.709984";"1";"101021607,102021607";"13/06/2022";"123594";"ca"
"67";"58";"100023514";"Sussex at Macdonald-Cartier Bridge";"Ottawa Active Transportation Counters";"45.4353871490278";"-75.6984921600494";"2";"101023514,102023514";"13/06/2022";"46266";"ca"
"68";"58";"100024668";"Prescott Russell Site 1 - ZELT Only";"Ottawa Active Transportation Counters";"45.41792";"-75.55974";"2";"101024668,102024668";"13/06/2022";"0";"ca"
"69";"58";"100025243";"Nanny Goat Hill";"Ottawa Active Transportation Counters";"45.4156372363781";"-75.7074231567383";"2";"101025243,102025243,103025243,104025243";"13/06/2022";"11943";"ca"
"70";"58";"100025792";"O-Train Trillium at Beech";"Ottawa Active Transportation Counters";"45.4005547246542";"-75.711126564274";"2";"101025792,102025792,103025792,104025792";"13/06/2022";"0";"ca"
"71";"58";"100032920";"Cyrville Road";"Ottawa Active Transportation Counters";"45.4240456744836";"-75.6328088888245";"2";"101032920,102032920";"13/06/2022";"3428";"ca"
"72";"58";"100034165";"O'Connor @ Argyle";"Ottawa Active Transportation Counters";"45.4117275667282";"-75.6904008066826";"2";"101034165,102034165";"13/06/2022";"0";"ca"
"73";"58";"100034500";"Main @ Evelyn";"Ottawa Active Transportation Counters";"45.4113662837861";"-75.6793170053581";"2";"101034500,102034500";"13/06/2022";"23452";"ca"
"74";"58";"100034501";"Main @ Centennial";"Ottawa Active Transportation Counters";"45.40185";"-75.67379";"2";"101034501,102034501";"13/06/2022";"15160";"ca"
"75";"58";"100036906";"* Rockcliffe Park - Ottawa River Pathway - NCC";"Ottawa Active Transportation Counters";"45.4502577421992";"-75.6859200151002";"2";"101036906,102036906";"13/06/2022";"25550";"ca"
"76";"58";"100036908";"*Queen Elizabeth/Waverly-Rideau Canal W Path - NCC";"Ottawa Active Transportation Counters";"45.4188630665041";"-75.6811551208579";"7";"101036908,102036908,103036908,104036908";"13/06/2022";"251151";"ca"
"77";"58";"100036909";"* Parliament - Trans Canada Trail - NCC";"Ottawa Active Transportation Counters";"45.4264277273976";"-75.7003545287393";"7";"101036909,102036909,103036909,104036909";"13/06/2022";"272825";"ca"
"78";"58";"100037436";"* Fournier - Voyageurs Pathway - NCC";"Ottawa Active Transportation Counters";"45.4459820177068";"-75.7124041809268";"2";"101037436,102037436";"13/06/2022";"30";"ca"
"79";"58";"100037437";"* Portage Bridge - Sentier des Voyageurs - NCC";"Ottawa Active Transportation Counters";"45.4243291245824";"-75.7130098342896";"7";"101037437,102037437,103037437,104037437";"13/06/2022";"83892";"ca"
"80";"58";"100038240";"O'Connor @ Somerset";"Ottawa Active Transportation Counters";"45.416618";"-75.694615";"2";"101038240,102038240";"13/06/2022";"0";"ca"
"81";"58";"100040696";"Adawe Crossing Cyclist(e)s";"Ottawa Active Transportation Counters";"45.4260460848179";"-75.6706098344071";"2";"101040696,102040696";"13/06/2022";"76072";"ca"
"82";"58";"100040697";"Adawe Crossing Peds/Pietons";"Ottawa Active Transportation Counters";"45.4260460848179";"-75.6706098344071";"1";"101040697,102040697";"13/06/2022";"270093";"ca"
"83";"58";"100041680";"NCC Western Canal Pathway at Ritz - Merged";"Ottawa Active Transportation Counters";"45.4067511178014";"-75.6817577093302";"2";"101041680,102041680,103041680,104041680,105041680,106041680,107041680,108041680";"13/06/2022";"75719";"ca"
"84";"58";"100041791";"Mackenzie @ Rideau Peds";"Ottawa Active Transportation Counters";"45.4255146653154";"-75.6943741044863";"1";"101041791,102041791";"13/06/2022";"0";"ca"
"85";"58";"100041792";"Mackenzie @ Rideau Bikes";"Ottawa Active Transportation Counters";"45.4254766713664";"-75.6943555254355";"2";"101041792,102041792";"13/06/2022";"0";"ca"
"86";"58";"100042092";"TB S060 Corkstown/Moodie Greenbelt MUP";"Ottawa Active Transportation Counters";"45.3424814084667";"-75.8439862622017";"7";"101042092,102042092";"13/06/2022";"0";"ca"
"87";"58";"100042093";"TB S061 Renfrew Rail Corridor (Corkstown)";"Ottawa Active Transportation Counters";"45.3330360673587";"-75.8573503421038";"7";"101042093,102042093";"13/06/2022";"0";"ca"
"88";"58";"100042094";"TB S063 TransCanada Trail (West of Eagleson)";"Ottawa Active Transportation Counters";"45.2912704480313";"-75.8708770715065";"7";"101042094,102042094";"13/06/2022";"0";"ca"
"89";"58";"100042096";"TB S064 Lees Ped/Cycling Bridge (UofO)";"Ottawa Active Transportation Counters";"45.4164893945398";"-75.6636446971237";"7";"101042096,102042096";"13/06/2022";"0";"ca"
"90";"58";"100042127";"TB S062 TransCanada Trail (near westcliffe)";"Ottawa Active Transportation Counters";"45.3122740362859";"-75.8501528337819";"7";"101042127,102042127";"13/06/2022";"0";"ca"
"91";"58";"100042139";"TB S066 - Sawmill Creek (west of T-intersection)";"Ottawa Active Transportation Counters";"45.3737738380989";"-75.6802847162716";"7";"101042139,102042139";"13/06/2022";"0";"ca"
"92";"58";"100042140";"TB S065 - Sawmill Creek (east of T-intersection)";"Ottawa Active Transportation Counters";"45.3736532486501";"-75.6784592925564";"7";"101042140,102042140";"13/06/2022";"0";"ca"
"93";"58";"100042267";"Rideau River Western Pathway";"Ottawa Active Transportation Counters";"45.41421";"-75.66991";"2";"101042267,102042267";"13/06/2022";"43025";"ca"
"94";"58";"100045302";"TB S067  Woodroffe MUP - north of Longfields";"Ottawa Active Transportation Counters";"45.2992103265377";"-75.7312027855373";"7";"101045302,102045302";"13/06/2022";"0";"ca"
"95";"58";"100046988";"TB S067 - Woodroffe MUP (near Longfields)";"Ottawa Active Transportation Counters";"45.2919013731321";"-75.7269270789877";"7";"101046988,102046988";"13/06/2022";"0";"ca"
"96";"58";"100046989";"TB S068 Queensway Station MUP (South of Station)";"Ottawa Active Transportation Counters";"45.3567154879405";"-75.7704272826887";"7";"101046989,102046989";"13/06/2022";"0";"ca"
"97";"58";"100046990";"TB S069 Baseline Station - Transitway Crossing";"Ottawa Active Transportation Counters";"45.3528308931184";"-75.766780908331";"7";"101046990,102046990";"13/06/2022";"0";"ca"
"98";"58";"100046991";"TB S070 Woodroffe MUP (Fire Station)";"Ottawa Active Transportation Counters";"45.3526758709029";"-75.7640678109194";"7";"101046991,102046991";"13/06/2022";"0";"ca"
"99";"58";"100046992";"TB S071 Trim Road Park & Ride MUP";"Ottawa Active Transportation Counters";"45.496814480102";"-75.4773520916748";"7";"101046992,102046992";"13/06/2022";"0";"ca"
"100";"58";"100046993";"TB S072 MUP north of Terry Fox/west of March";"Ottawa Active Transportation Counters";"45.3433011921712";"-75.9347813313478";"7";"101046993,102046993";"13/06/2022";"0";"ca"
"101";"58";"100046994";"TB S073 Shefford Road - North";"Ottawa Active Transportation Counters";"45.4585892832813";"-75.5926851125542";"7";"101046994,102046994";"13/06/2022";"0";"ca"
"102";"58";"100046995";"TB S074 Shefford Road - South";"Ottawa Active Transportation Counters";"45.4511814396693";"-75.5883489613769";"7";"101046995,102046995";"13/06/2022";"0";"ca"
"103";"58";"100047452";"Colonel By at Uni. of Ottawa Tunnel(Obslete)";"Ottawa Active Transportation Counters";"45.4221928498612";"-75.6872493875376";"2";"101047452,102047452";"13/06/2022";"0";"ca"
"104";"58";"100047455";"Colonel By at Uni of Ottawa Tunnel";"Ottawa Active Transportation Counters";"45.42059";"-75.6829";"7";"101047455,102047455,103047455,104047455,105047455,106047455,107047455,108047455,353310349,353310350,353310351,353310352";"13/06/2022";"861915";"ca"
"105";"58";"100048426";"TB S075 Fallowfield & Cedarview MUP";"Ottawa Active Transportation Counters";"45.2777244205961";"-75.7828930904338";"7";"101048426,102048426";"13/06/2022";"0";"ca"
